Sex,Weeks,CellType,EmbryoID,CellID
M,7,Soma,1,sc5
F,10,PGC,2,sc12
F,11,PGC,3,sc2
M,7,Soma,1,sc11
F,11,Soma,3,sc4
F,8,PGC,1,sc18
F,8,PGC,1,sc13
F,11,Soma,3,sc5
F,17,PGC,1,sc16
M,7,Soma,2,sc7
F,11,PGC,3,sc7
M,10,PGC,1,sc13
M,19,PGC,2,sc23
M,10,Soma,1,sc3
M,19,PGC,1,sc27
M,11,PGC,1,sc8
M,19,PGC,1,sc18
M,19,PGC,2,sc12
M,7,PGC,3,sc5
F,17,PGC,1,sc6
M,19,PGC,2,sc21
M,10,PGC,1,sc9
M,7,PGC,1,sc2
F,8,PGC,1,sc17
M,11,PGC,1,sc5
F,11,PGC,3,sc3
F,10,PGC,2,sc11
F,8,Soma,1,sc8
F,17,Soma,1,sc9
M,4,PGC,3,sc4
F,8,PGC,1,ps9
M,11,PGC,1,sc9
M,11,PGC,2,sc4
M,19,PGC,2,sc8
M,7,PGC,3,sc9
M,7,Soma,2,sc3
F,11,PGC,3,sc8
M,4,PGC,3,sc2
F,8,PGC,1,sc6
F,4,Soma,2,sc5
M,10,Soma,1,sc8
F,10,PGC,2,sc1
F,8,PGC,1,ps1
M,19,PGC,1,sc19
F,8,PGC,1,ps6
M,7,Soma,3,sc6
M,11,PGC,1,sc11
M,7,Soma,1,sc1
F,17,PGC,1,sc12
M,7,PGC,3,sc8
F,11,Soma,3,sc7
F,10,PGC,2,sc7
F,17,PGC,1,sc15
F,8,PGC,1,sc10
F,17,PGC,1,sc21
M,7,PGC,1,sc4
F,10,Soma,2,sc1
M,19,Soma,1,sc2
M,7,PGC,1,sc10
M,10,PGC,1,sc19
M,7,PGC,3,sc6
M,4,PGC,3,sc1
M,19,PGC,2,sc20
F,11,Soma,3,sc6
F,10,Soma,2,sc2
M,7,Soma,1,sc3
F,10,PGC,2,sc8
F,8,Soma,1,sc9
M,7,PGC,3,sc11
M,11,Soma,1,sc1
M,11,PGC,2,sc2
M,11,PGC,2,sc14
F,8,PGC,1,sc3
M,10,Soma,1,sc2
M,10,Soma,1,sc5
M,11,PGC,2,sc11
F,17,Soma,1,sc2
M,10,PGC,1,sc11
M,7,PGC,3,sc3
F,17,Soma,1,sc5
M,7,Soma,2,sc2
F,17,Soma,1,sc4
M,19,PGC,1,sc22
F,17,PGC,1,sc28
M,10,Soma,1,sc6
M,10,Soma,1,sc4
F,10,PGC,2,sc9
F,8,Soma,1,sc4
F,10,Soma,2,sc3
M,19,PGC,2,sc22
M,10,PGC,1,sc15
M,7,PGC,3,sc12
M,11,PGC,1,sc1
M,10,PGC,1,sc5
M,7,PGC,1,sc6
F,10,PGC,2,sc5
M,19,PGC,1,sc25
M,19,PGC,2,sc25
M,19,PGC,2,sc9
M,11,Soma,1,sc2
F,11,PGC,3,sc4
M,19,PGC,1,sc10
F,11,PGC,3,sc1
F,8,Soma,1,sc2
F,4,PGC,2,sc2
F,4,Soma,2,sc3
M,11,Soma,2,sc5
M,7,Soma,1,sc8
F,4,PGC,2,sc5
F,11,PGC,3,sc9
F,8,PGC,1,ps4
M,7,Soma,3,sc4
M,10,PGC,1,sc1
M,11,PGC,2,sc13
M,10,Soma,1,sc7
M,10,Soma,1,sc9
M,11,PGC,2,sc12
F,4,PGC,2,sc6
F,17,PGC,1,sc2
M,7,PGC,2,sc10
F,17,PGC,1,sc25
F,11,PGC,3,sc10
M,7,PGC,2,sc4
M,10,PGC,1,sc17
M,11,PGC,2,sc6
M,19,PGC,1,sc3
F,4,PGC,2,sc4
M,7,PGC,3,sc4
M,19,PGC,1,sc4
M,7,PGC,1,sc3
F,8,Soma,1,sc7
F,17,PGC,1,sc3
M,7,PGC,2,sc9
M,11,PGC,2,sc5
M,11,Soma,2,sc3
M,19,PGC,1,sc14
M,7,PGC,2,sc6
F,17,PGC,1,sc13
F,4,Soma,2,sc2
M,4,PGC,3,sc3
F,11,Soma,3,sc9
F,10,PGC,2,sc13
M,10,PGC,1,sc8
M,10,PGC,1,sc16
M,7,PGC,1,sc9
M,7,Soma,1,sc7
M,7,PGC,3,sc7
M,11,PGC,2,sc3
F,11,PGC,3,sc6
F,8,PGC,1,sc8
M,19,PGC,1,sc17
F,8,PGC,1,ps3
M,7,Soma,1,sc10
F,8,PGC,1,sc14
M,19,PGC,2,sc18
M,19,PGC,2,sc26
F,4,PGC,2,sc7
F,8,PGC,1,ps7
M,10,PGC,1,sc14
F,4,PGC,2,sc8
M,7,Soma,3,sc1
M,10,PGC,1,sc18
M,11,Soma,2,sc1
F,17,PGC,1,sc1
M,4,PGC,3,sc6
M,19,PGC,2,sc15
M,11,PGC,1,sc12
F,8,PGC,1,ps2
M,7,Soma,1,sc4
F,4,Soma,2,sc1
M,7,Soma,1,sc12
F,17,PGC,1,sc20
F,17,PGC,1,sc31
M,7,PGC,2,sc1
F,4,PGC,1,sc2
F,17,PGC,1,sc30
F,17,Soma,1,sc6
M,7,PGC,1,sc7
M,7,PGC,3,sc13
F,10,PGC,2,sc3
M,19,PGC,2,sc6
F,4,Soma,2,sc6
M,11,Soma,2,sc2
F,11,PGC,3,sc5
F,4,PGC,2,sc10
F,17,PGC,1,sc22
M,7,PGC,3,sc2
F,17,Soma,1,sc7
F,8,PGC,1,sc5
M,4,PGC,3,sc5
F,17,PGC,1,sc4
F,17,PGC,1,sc23
F,17,PGC,1,sc19
M,7,Soma,1,sc9
M,19,PGC,2,sc7
M,7,PGC,1,sc5
M,10,PGC,1,sc2
F,8,PGC,1,ps8
M,10,PGC,1,sc7
F,17,PGC,1,sc11
M,11,PGC,1,sc6
M,19,PGC,1,sc9
F,17,Soma,1,sc3
M,7,PGC,3,sc10
M,10,PGC,1,sc20
M,19,PGC,2,sc2
M,11,PGC,1,sc2
M,19,PGC,2,sc4
F,8,PGC,1,sc1
M,7,PGC,2,sc8
M,19,PGC,1,sc31
M,7,PGC,1,sc16
M,11,PGC,1,sc7
M,19,PGC,1,sc21
F,17,PGC,1,sc29
M,7,PGC,1,sc14
M,7,Soma,2,sc6
M,19,PGC,1,sc28
M,19,PGC,2,sc10
M,7,PGC,2,sc5
F,11,Soma,3,sc2
F,17,PGC,1,sc8
M,19,PGC,1,sc2
F,17,PGC,1,sc24
F,10,PGC,2,sc2
M,11,PGC,2,sc8
F,17,PGC,1,sc17
F,8,Soma,1,sc3
F,10,PGC,2,sc4
M,19,PGC,1,sc7
M,7,Soma,3,sc5
M,7,PGC,3,sc1
F,10,PGC,2,sc10
F,17,PGC,1,sc5
F,17,Soma,1,sc8
M,19,PGC,1,sc16
F,8,PGC,1,sc2
M,7,Soma,1,sc6
F,8,PGC,1,sc15
F,17,PGC,1,sc27
M,11,PGC,1,sc10
M,10,Soma,1,sc1
F,8,PGC,1,sc9
M,7,Soma,3,sc3
M,10,Soma,1,sc10
M,19,PGC,1,sc5
F,17,PGC,1,sc14
M,19,Soma,1,sc1
M,19,PGC,1,sc11
M,10,PGC,1,sc10
M,11,PGC,2,sc9
M,19,PGC,1,sc13
F,11,Soma,3,sc1
M,11,PGC,2,sc7
F,17,Soma,1,sc1
M,19,PGC,1,sc6
